orig_fips,county_state,total_out_exemptions
53063,"Spokane County, Washington",12190
08035,"Douglas County, Colorado",12171
51107,"Loudoun County, Virginia",12139
26065,"Ingham County, Michigan",12049
19153,"Polk County, Iowa",12037
20173,"Sedgwick County, Kansas",12018
37063,"Durham County, North Carolina",12009
47093,"Knox County, Tennessee",11967
39095,"Lucas County, Ohio",11771
12009,"Brevard County, Florida",11734
51041,"Chesterfield County, Virginia",11709
53011,"Clark County, Washington",11691
12115,"Sarasota County, Florida",11668
36001,"Albany County, New York",11519
51550,"Chesapeake city, Virginia",11507
37133,"Onslow County, North Carolina",11018
21067,"Fayette County, Kentucky",10896
34021,"Mercer County, New Jersey",10758
40027,"Cleveland County, Oklahoma",10697
36071,"Orange County, New York",10672
12073,"Leon County, Florida",10552
08069,"Larimer County, Colorado",10475
27163,"Washington County, Minnesota",10427
29183,"St. Charles County, Missouri",10337
48167,"Galveston County, Texas",10333
48355,"Nueces County, Texas",10327
41047,"Marion County, Oregon",10276
53035,"Kitsap County, Washington",10244
36067,"Onondaga County, New York",10145
13215,"Muscogee County, Georgia",10086
06041,"Marin County, California",10077
17111,"McHenry County, Illinois",9838
29077,"Greene County, Missouri",9809
06087,"Santa Cruz County, California",9770
37067,"Forsyth County, North Carolina",9767
26049,"Genesee County, Michigan",9751
12001,"Alachua County, Florida",9734
23005,"Cumberland County, Maine",9557
12081,"Manatee County, Florida",9544
41039,"Lane County, Oregon",9378
10003,"New Castle County, Delaware",9268
12021,"Collier County, Florida",9267
13245,"Richmond County, Georgia",9256
48039,"Brazoria County, Texas",9239
42091,"Montgomery County, Pennsylvania",9205
29047,"Clay County, Missouri",9103
36087,"Rockland County, New York",9093
48215,"Hidalgo County, Texas",9081
12069,"Lake County, Florida",9008
51650,"Hampton city, Virginia",8979
45063,"Lexington County, South Carolina",8942
25013,"Hampden County, Massachusetts",8916
26077,"Kalamazoo County, Michigan",8861
18057,"Hamilton County, Indiana",8803
