orig_fips,county_state,total_out_exemptions
39129,"Pickaway County, Ohio",1807
38101,"Ward County, North Dakota",1798
39007,"Ashtabula County, Ohio",1796
18011,"Boone County, Indiana",1795
45031,"Darlington County, South Carolina",1777
39021,"Champaign County, Ohio",1775
16011,"Bingham County, Idaho",1773
19049,"Dallas County, Iowa",1773
48347,"Nacogdoches County, Texas",1771
12107,"Putnam County, Florida",1768
39157,"Tuscarawas County, Ohio",1761
12055,"Highlands County, Florida",1758
39027,"Clinton County, Ohio",1758
25011,"Franklin County, Massachusetts",1757
40051,"Grady County, Oklahoma",1754
18029,"Dearborn County, Indiana",1751
22001,"Acadia Parish, Louisiana",1747
29031,"Cape Girardeau County, Missouri",1747
55111,"Sauk County, Wisconsin",1746
01009,"Blount County, Alabama",1741
01077,"Lauderdale County, Alabama",1739
23023,"Sagadahoc County, Maine",1719
22095,"St. John the Baptist Parish, Louisiana",1707
37105,"Lee County, North Carolina",1707
01031,"Coffee County, Alabama",1700
01083,"Limestone County, Alabama",1700
49021,"Iron County, Utah",1696
51143,"Pittsylvania County, Virginia",1694
53017,"Douglas County, Washington",1690
37169,"Stokes County, North Carolina",1685
47141,"Putnam County, Tennessee",1678
55097,"Portage County, Wisconsin",1678
05091,"Miller County, Arkansas",1675
46093,"Meade County, South Dakota",1674
47063,"Hamblen County, Tennessee",1674
47167,"Tipton County, Tennessee",1670
51015,"Augusta County, Virginia",1663
01049,"DeKalb County, Alabama",1660
55017,"Chippewa County, Wisconsin",1657
36101,"Steuben County, New York",1654
53075,"Whitman County, Washington",1648
48013,"Atascosa County, Texas",1643
17141,"Ogle County, Illinois",1638
13127,"Glynn County, Georgia",1636
10005,"Sussex County, Delaware",1633
36011,"Cayuga County, New York",1633
47021,"Cheatham County, Tennessee",1633
49003,"Box Elder County, Utah",1633
21113,"Jessamine County, Kentucky",1627
37171,"Surry County, North Carolina",1627
36051,"Livingston County, New York",1626
39063,"Hancock County, Ohio",1622
12023,"Columbia County, Florida",1614
36009,"Cattaraugus County, New York",1607
21059,"Daviess County, Kentucky",1606
53027,"Grays Harbor County, Washington",1605
37077,"Granville County, North Carolina",1603
47073,"Hawkins County, Tennessee",1592
33005,"Cheshire County, New Hampshire",1590
27131,"Rice County, Minnesota",1587
36105,"Sullivan County, New York",1586
41035,"Klamath County, Oregon",1584
41041,"Lincoln County, Oregon",1581
54003,"Berkeley County, West Virginia",1579
50027,"Windsor County, Vermont",1578
37125,"Moore County, North Carolina",1577
39119,"Muskingum County, Ohio",1577
27059,"Isanti County, Minnesota",1576
51730,"Petersburg city, Virginia",1571
46083,"Lincoln County, South Dakota",1570
06033,"Lake County, California",1569
17063,"Grundy County, Illinois",1569
37107,"Lenoir County, North Carolina",1562
17073,"Henry County, Illinois",1558
05145,"White County, Arkansas",1556
28087,"Lowndes County, Mississippi",1552
30029,"Flathead County, Montana",1552
40047,"Garfield County, Oklahoma",1551
18113,"Noble County, Indiana",1548
26149,"St. Joseph County, Michigan",1546
48467,"Van Zandt County, Texas",1543
39005,"Ashland County, Ohio",1537
36115,"Washington County, New York",1533
45047,"Greenwood County, South Carolina",1532
53071,"Walla Walla County, Washington",1532
12119,"Sumter County, Florida",1531
29113,"Lincoln County, Missouri",1531
26027,"Cass County, Michigan",1523
54079,"Putnam County, West Virginia",1521
08045,"Garfield County, Colorado",1518
39141,"Ross County, Ohio",1512
21125,"Laurel County, Kentucky",1510
21185,"Oldham County, Kentucky",1509
37109,"Lincoln County, North Carolina",1508
26157,"Tuscola County, Michigan",1504
13129,"Gordon County, Georgia",1497
56025,"Natrona County, Wyoming",1497
27027,"Clay County, Minnesota",1495
39097,"Madison County, Ohio",1494
13213,"Murray County, Georgia",1492
26123,"Newaygo County, Michigan",1490
19061,"Dubuque County, Iowa",1487
21145,"McCracken County, Kentucky",1486
47031,"Coffee County, Tennessee",1475
48221,"Hood County, Texas",1472
45043,"Georgetown County, South Carolina",1471
41009,"Columbia County, Oregon",1470
22099,"St. Martin Parish, Louisiana",1465
01043,"Cullman County, Alabama",1462
24035,"Queen Anne, Maryland",1462
51600,"Fairfax city, Virginia",1460
48459,"Upshur County, Texas",1458
18099,"Marshall County, Indiana",1457
41011,"Coos County, Oregon",1448
45057,"Lancaster County, South Carolina",1448
12039,"Gadsden County, Florida",1446
16069,"Nez Perce County, Idaho",1445
40147,"Washington County, Oklahoma",1441
54037,"Jefferson County, West Virginia",1441
02170,"Matanuska-Susitna Borough, Alaska",1439
13285,"Troup County, Georgia",1437
34033,"Salem County, New Jersey",1437
39145,"Scioto County, Ohio",1435
42043,"Dauphin County, Pennsylvania",1435
31079,"Hall County, Nebraska",1433
50023,"Washington County, Vermont",1429
18053,"Grant County, Indiana",1426
36037,"Genesee County, New York",1424
36013,"Chautauqua County, New York",1423
18177,"Wayne County, Indiana",1419
47019,"Carter County, Tennessee",1419
27103,"Nicollet County, Minnesota",1415
54061,"Monongalia County, West Virginia",1413
35009,"Curry County, New Mexico",1410
35005,"Chaves County, New Mexico",1406
37031,"Carteret County, North Carolina",1402
48053,"Burnet County, Texas",1402
27035,"Crow Wing County, Minnesota",1396
30049,"Lewis and Clark County, Montana",1395
47145,"Roane County, Tennessee",1395
01033,"Colbert County, Alabama",1394
36015,"Chemung County, New York",1390
48473,"Waller County, Texas",1388
54107,"Wood County, West Virginia",1382
32007,"Elko County, Nevada",1378
39101,"Marion County, Ohio",1378
39147,"Seneca County, Ohio",1373
29187,"St. Francois County, Missouri",1372
06009,"Calaveras County, California",1371
06109,"Tuolumne County, California",1370
35035,"Otero County, New Mexico",1370
29027,"Callaway County, Missouri",1369
39009,"Athens County, Ohio",1369
56001,"Albany County, Wyoming",1369
17199,"Williamson County, Illinois",1367
20155,"Reno County, Kansas",1367
47053,"Gibson County, Tennessee",1366
05035,"Crittenden County, Arkansas",1365
53009,"Clallam County, Washington",1361
39091,"Logan County, Ohio",1359
17029,"Coles County, Illinois",1358
28045,"Hancock County, Mississippi",1356
35039,"Rio Arriba County, New Mexico",1355
13031,"Bulloch County, Georgia",1348
16057,"Latah County, Idaho",1346
36057,"Montgomery County, New York",1344
37061,"Duplin County, North Carolina",1343
08117,"Summit County, Colorado",1342
47043,"Dickson County, Tennessee",1340
48001,"Anderson County, Texas",1339
26059,"Hillsdale County, Michigan",1338
40071,"Kay County, Oklahoma",1332
48401,"Rusk County, Texas",1330
22101,"St. Mary Parish, Louisiana",1324
37083,"Halifax County, North Carolina",1324
47105,"Loudon County, Tennessee",1323
19181,"Warren County, Iowa",1312
40081,"Lincoln County, Oklahoma",1312
39033,"Crawford County, Ohio",1311
40041,"Delaware County, Oklahoma",1311
55071,"Manitowoc County, Wisconsin",1311
39011,"Auglaize County, Ohio",1309
39143,"Sandusky County, Ohio",1309
22113,"Vermilion Parish, Louisiana",1303
45055,"Kershaw County, South Carolina",1300
39159,"Union County, Ohio",1299
37181,"Vance County, North Carolina",1295
29201,"Scott County, Missouri",1293
42041,"Cumberland County, Pennsylvania",1293
55033,"Dunn County, Wisconsin",1291
12131,"Walton County, Florida",1290
05115,"Pope County, Arkansas",1289
18145,"Shelby County, Indiana",1287
39083,"Knox County, Ohio",1287
42079,"Luzerne County, Pennsylvania",1287
21073,"Franklin County, Kentucky",1283
27169,"Winona County, Minnesota",1280
37167,"Stanly County, North Carolina",1278
51840,"Winchester city, Virginia",1277
20169,"Saline County, Kansas",1275
37193,"Wilkes County, North Carolina",1273
18133,"Putnam County, Indiana",1270
51590,"Danville city, Virginia",1268
55093,"Pierce County, Wisconsin",1268
48465,"Val Verde County, Texas",1266
29029,"Camden County, Missouri",1263
18033,"De Kalb County, Indiana",1262
36077,"Otsego County, New York",1259
39071,"Highland County, Ohio",1259
28067,"Jones County, Mississippi",1258
12051,"Hendry County, Florida",1256
29109,"Lawrence County, Missouri",1256
36021,"Columbia County, New York",1256
49043,"Summit County, Utah",1255
51670,"Hopewell city, Virginia",1252
27111,"Otter Tail County, Minnesota",1249
28151,"Washington County, Mississippi",1249
01127,"Walker County, Alabama",1248
23017,"Oxford County, Maine",1247
29009,"Barry County, Missouri",1246
08067,"La Plata County, Colorado",1245
17183,"Vermilion County, Illinois",1245
45021,"Cherokee County, South Carolina",1244
21081,"Grant County, Kentucky",1243
21019,"Boyd County, Kentucky",1242
51660,"Harrisonburg city, Virginia",1242
39051,"Fulton County, Ohio",1241
17117,"Macoupin County, Illinois",1240
27021,"Cass County, Minnesota",1240
39019,"Carroll County, Ohio",1239
51187,"Warren County, Virginia",1234
55135,"Waupaca County, Wisconsin",1234
48349,"Navarro County, Texas",1229
29213,"Taney County, Missouri",1228
51089,"Henry County, Virginia",1227
37141,"Pender County, North Carolina",1225
37163,"Sampson County, North Carolina",1225
44001,"Bristol County, Rhode Island",1224
48427,"Starr County, Texas",1219
48323,"Maverick County, Texas",1218
16065,"Madison County, Idaho",1216
04023,"Santa Cruz County, Arizona",1212
48325,"Medina County, Texas",1211
40021,"Cherokee County, Oklahoma",1210
48273,"Kleberg County, Texas",1210
37161,"Rutherford County, North Carolina",1199
42129,"Westmoreland County, Pennsylvania",1199
48217,"Hill County, Texas",1197
48241,"Jasper County, Texas",1197
28073,"Lamar County, Mississippi",1195
39167,"Washington County, Ohio",1195
36043,"Herkimer County, New York",1193
39087,"Lawrence County, Ohio",1190
40111,"Okmulgee County, Oklahoma",1190
27049,"Goodhue County, Minnesota",1189
53037,"Kittitas County, Washington",1189
26023,"Branch County, Michigan",1188
48249,"Jim Wells County, Texas",1188
18065,"Henry County, Indiana",1187
51047,"Culpeper County, Virginia",1185
37017,"Bladen County, North Carolina",1183
48073,"Cherokee County, Texas",1182
51191,"Washington County, Virginia",1181
31019,"Buffalo County, Nebraska",1180
40097,"Mayes County, Oklahoma",1175
39135,"Preble County, Ohio",1171
17195,"Whiteside County, Illinois",1170
39117,"Morrow County, Ohio",1170
47107,"McMinn County, Tennessee",1167
39149,"Shelby County, Ohio",1165
33003,"Carroll County, New Hampshire",1163
06103,"Tehama County, California",1160
23025,"Somerset County, Maine",1159
55005,"Barron County, Wisconsin",1158
32023,"Nye County, Nevada",1157
48499,"Wood County, Texas",1155
26107,"Mecosta County, Michigan",1154
28105,"Oktibbeha County, Mississippi",1153
39123,"Ottawa County, Ohio",1152
48097,"Cooke County, Texas",1152
22047,"Iberville Parish, Louisiana",1149
39131,"Pike County, Ohio",1148
12075,"Levy County, Florida",1145
17095,"Knox County, Illinois",1145
18103,"Miami County, Indiana",1142
24011,"Caroline County, Maryland",1141
35025,"Lea County, New Mexico",1135
39013,"Belmont County, Ohio",1135
36107,"Tioga County, New York",1130
51023,"Botetourt County, Virginia",1127
01071,"Jackson County, Alabama",1124
13029,"Bryan County, Georgia",1124
51775,"Salem city, Virginia",1124
18087,"Lagrange County, Indiana",1123
51093,"Isle of Wight County, Virginia",1121
55043,"Grant County, Wisconsin",1118
40087,"McClain County, Oklahoma",1112
55083,"Oconto County, Wisconsin",1109
36023,"Cortland County, New York",1107
37013,"Beaufort County, North Carolina",1105
36121,"Wyoming County, New York",1098
45073,"Oconee County, South Carolina",1098
40079,"Le Flore County, Oklahoma",1097
39081,"Jefferson County, Ohio",1096
48277,"Lamar County, Texas",1096
47003,"Bedford County, Tennessee",1095
48321,"Matagorda County, Texas",1095
26057,"Gratiot County, Michigan",1093
13009,"Baldwin County, Georgia",1092
29159,"Pettis County, Missouri",1092
48143,"Erath County, Texas",1092
50025,"Windham County, Vermont",1088
29209,"Stone County, Missouri",1084
05093,"Mississippi County, Arkansas",1077
21211,"Shelby County, Kentucky",1076
37189,"Watauga County, North Carolina",1074
01017,"Chambers County, Alabama",1068
53065,"Stevens County, Washington",1067
20055,"Finney County, Kansas",1066
39039,"Defiance County, Ohio",1064
45023,"Chester County, South Carolina",1064
56037,"Sweetwater County, Wyoming",1063
13195,"Madison County, Georgia",1059
48481,"Wharton County, Texas",1059
13145,"Harris County, Georgia",1058
16039,"Elmore County, Idaho",1057
28057,"Itawamba County, Mississippi",1055
26151,"Sanilac County, Michigan",1054
31119,"Madison County, Nebraska",1051
27067,"Kandiyohi County, Minnesota",1050
13103,"Effingham County, Georgia",1046
29107,"Lafayette County, Missouri",1043
55075,"Marinette County, Wisconsin",1041
16051,"Jefferson County, Idaho",1038
28071,"Lafayette County, Mississippi",1037
28109,"Pearl River County, Mississippi",1036
55115,"Shawano County, Wisconsin",1036
55095,"Polk County, Wisconsin",1033
13035,"Butts County, Georgia",1030
17103,"Lee County, Illinois",1030
36017,"Chenango County, New York",1030
21209,"Scott County, Kentucky",1029
22069,"Natchitoches Parish, Louisiana",1029
22119,"Webster Parish, Louisiana",1028
21049,"Clark County, Kentucky",1026
48189,"Hale County, Texas",1025
48493,"Wilson County, Texas",1025
36089,"St. Lawrence County, New York",1024
47059,"Greene County, Tennessee",1023
17177,"Stephenson County, Illinois",1021
37197,"Yadkin County, North Carolina",1021
01079,"Lawrence County, Alabama",1016
18061,"Harrison County, Indiana",1016
13137,"Habersham County, Georgia",1015
39037,"Darke County, Ohio",1013
13233,"Polk County, Georgia",1008
16017,"Bonner County, Idaho",1008
28093,"Marshall County, Mississippi",1008
13275,"Thomas County, Georgia",1007
37033,"Caswell County, North Carolina",1002
02122,"Kenai Peninsula Borough, Alaska",1000
18047,"Franklin County, Indiana",999
18071,"Jackson County, Indiana",997
36025,"Delaware County, New York",997
37079,"Greene County, North Carolina",997
19045,"Clinton County, Iowa",993
40019,"Carter County, Oklahoma",993
39073,"Hocking County, Ohio",992
22061,"Lincoln Parish, Louisiana",988
36035,"Fulton County, New York",987
06093,"Siskiyou County, California",985
19033,"Cerro Gordo County, Iowa",984
28113,"Pike County, Mississippi",983
51067,"Franklin County, Virginia",983
29161,"Phelps County, Missouri",982
55085,"Oneida County, Wisconsin",982
29219,"Warren County, Missouri",981
36039,"Greene County, New York",978
18073,"Jasper County, Indiana",977
22011,"Beauregard Parish, Louisiana",977
29023,"Butler County, Missouri",977
39047,"Fayette County, Ohio",977
20079,"Harvey County, Kansas",976
51685,"Manassas Park city, Virginia",974
13177,"Lee County, Georgia",972
39031,"Coshocton County, Ohio",969
48265,"Kerr County, Texas",967
51137,"Orange County, Virginia",967
54033,"Harrison County, West Virginia",967
22121,"West Baton Rouge Parish, Louisiana",966
31043,"Dakota County, Nebraska",966
37059,"Davie County, North Carolina",966
41007,"Clatsop County, Oregon",966
13011,"Banks County, Georgia",965
08043,"Fremont County, Colorado",964
22075,"Plaquemines Parish, Louisiana",962
48147,"Fannin County, Texas",960
31053,"Dodge County, Nebraska",958
29003,"Andrew County, Missouri",957
51033,"Caroline County, Virginia",957
51570,"Colonial Heights city, Virginia",956
45025,"Chesterfield County, South Carolina",955
21101,"Henderson County, Kentucky",954
23027,"Waldo County, Maine",953
17001,"Adams County, Illinois",952
21079,"Garrard County, Kentucky",952
29225,"Webster County, Missouri",948
08119,"Teller County, Colorado",942
21021,"Boyle County, Kentucky",940
40123,"Pontotoc County, Oklahoma",939
18069,"Huntington County, Indiana",937
27085,"McLeod County, Minnesota",935
31025,"Cass County, Nebraska",935
33019,"Sullivan County, New Hampshire",935
39127,"Perry County, Ohio",935
51073,"Gloucester County, Virginia",931
24041,"Talbot County, Maryland",930
47017,"Carroll County, Tennessee",930
13299,"Ware County, Georgia",929
35015,"Eddy County, New Mexico",929
13143,"Haralson County, Georgia",928
37003,"Alexander County, North Carolina",928
49039,"Sanpete County, Utah",928
12121,"Suwannee County, Florida",926
16031,"Cassia County, Idaho",926
12063,"Jackson County, Florida",925
13277,"Tift County, Georgia",924
18183,"Whitley County, Indiana",922
48223,"Hopkins County, Texas",922
19099,"Jasper County, Iowa",920
21107,"Hopkins County, Kentucky",918
48067,"Cass County, Texas",916
27079,"Le Sueur County, Minnesota",915
48185,"Grimes County, Texas",915
18017,"Cass County, Indiana",912
28137,"Tate County, Mississippi",912
40013,"Bryan County, Oklahoma",910
28011,"Bolivar County, Mississippi",909
36003,"Allegany County, New York",909
18055,"Greene County, Indiana",905
28149,"Warren County, Mississippi",905
41045,"Malheur County, Oregon",904
01047,"Dallas County, Alabama",903
48259,"Kendall County, Texas",903
47123,"Monroe County, Tennessee",902
27147,"Steele County, Minnesota",900
29069,"Dunklin County, Missouri",900
50021,"Rutland County, Vermont",900
28083,"Leflore County, Mississippi",899
20111,"Lyon County, Kansas",897
06005,"Amador County, California",896
38059,"Morton County, North Dakota",896
27007,"Beltrami County, Minnesota",894
18151,"Steuben County, Indiana",893
18119,"Owen County, Indiana",892
39001,"Adams County, Ohio",891
47055,"Giles County, Tennessee",891
55019,"Clark County, Wisconsin",891
36073,"Orleans County, New York",889
13219,"Oconee County, Georgia",888
40135,"Sequoyah County, Oklahoma",888
17011,"Bureau County, Illinois",887
37139,"Pasquotank County, North Carolina",886
48049,"Brown County, Texas",886
54081,"Raleigh County, West Virginia",886
23003,"Aroostook County, Maine",885
36099,"Seneca County, New York",885
21089,"Greenup County, Kentucky",884
16053,"Jerome County, Idaho",881
17075,"Iroquois County, Illinois",881
54049,"Marion County, West Virginia",880
55031,"Douglas County, Wisconsin",880
13225,"Peach County, Georgia",877
45027,"Clarendon County, South Carolina",877
50017,"Orange County, Vermont",877
51009,"Amherst County, Virginia",877
55081,"Monroe County, Wisconsin",872
17203,"Woodford County, Illinois",871
18129,"Posey County, Indiana",871
39069,"Henry County, Ohio",870
01053,"Escambia County, Alabama",869
18021,"Clay County, Indiana",869
17105,"Livingston County, Illinois",868
18015,"Carroll County, Indiana",868
21009,"Barren County, Kentucky",868
42027,"Centre County, Pennsylvania",868
37153,"Richmond County, North Carolina",866
20037,"Crawford County, Kansas",865
21179,"Nelson County, Kentucky",864
05009,"Boone County, Arkansas",862
13033,"Burke County, Georgia",862
28107,"Panola County, Mississippi",862
30081,"Ravalli County, Montana",862
18013,"Brown County, Indiana",861
19139,"Muscatine County, Iowa",859
20121,"Miami County, Kansas",859
42103,"Pike County, Pennsylvania",859
39059,"Guernsey County, Ohio",857
51520,"Bristol city, Virginia",856
05139,"Union County, Arkansas",855
13085,"Dawson County, Georgia",855
04009,"Graham County, Arizona",854
21121,"Knox County, Kentucky",854
22007,"Assumption Parish, Louisiana",854
23009,"Hancock County, Maine",854
35017,"Grant County, New Mexico",853
39107,"Mercer County, Ohio",852
08085,"Montrose County, Colorado",851
40137,"Stephens County, Oklahoma",851
54069,"Ohio County, West Virginia",851
56005,"Campbell County, Wyoming",848
18031,"Decatur County, Indiana",847
27095,"Mille Lacs County, Minnesota",847
40015,"Caddo County, Oklahoma",847
48015,"Austin County, Texas",847
51053,"Dinwiddie County, Virginia",847
54055,"Mercer County, West Virginia",846
45089,"Williamsburg County, South Carolina",843
53003,"Asotin County, Washington",842
18093,"Lawrence County, Indiana",840
37047,"Columbus County, North Carolina",838
01021,"Chilton County, Alabama",837
18135,"Randolph County, Indiana",837
19015,"Boone County, Iowa",837
22117,"Washington Parish, Louisiana",837
47115,"Marion County, Tennessee",837
13199,"Meriwether County, Georgia",835
55001,"Adams County, Wisconsin",834
54099,"Wayne County, West Virginia",833
13169,"Jones County, Georgia",832
26165,"Wexford County, Michigan",831
55049,"Iowa County, Wisconsin",829
13187,"Lumpkin County, Georgia",827
05063,"Independence County, Arkansas",826
27097,"Morrison County, Minnesota",826
29119,"McDonald County, Missouri",826
29049,"Clinton County, Missouri",824
32001,"Churchill County, Nevada",824
39171,"Williams County, Ohio",823
47045,"Dyer County, Tennessee",822
50011,"Franklin County, Vermont",819
19127,"Marshall County, Iowa",818
23015,"Lincoln County, Maine",817
37145,"Person County, North Carolina",817
47183,"Weakley County, Tennessee",817
20149,"Pottawatomie County, Kansas",815
05123,"St. Francis County, Arkansas",814
47117,"Marshall County, Tennessee",813
19011,"Benton County, Iowa",812
21137,"Lincoln County, Kentucky",812
47051,"Franklin County, Tennessee",812
01123,"Tallapoosa County, Alabama",811
18051,"Gibson County, Indiana",810
01059,"Franklin County, Alabama",809
40039,"Custer County, Oklahoma",809
05055,"Greene County, Arkansas",808
27115,"Pine County, Minnesota",807
40115,"Ottawa County, Oklahoma",806
17027,"Clinton County, Illinois",805
20125,"Montgomery County, Kansas",805
18079,"Jennings County, Indiana",804
48407,"San Jacinto County, Texas",801
20035,"Cowley County, Kansas",800
54019,"Fayette County, West Virginia",799
08093,"Park County, Colorado",798
13027,"Brooks County, Georgia",798
40121,"Pittsburg County, Oklahoma",798
05111,"Poinsett County, Arkansas",796
27005,"Becker County, Minnesota",796
12027,"DeSoto County, Florida",792
37165,"Scotland County, North Carolina",790
18023,"Clinton County, Indiana",787
29167,"Polk County, Missouri",786
17055,"Franklin County, Illinois",784
22053,"Jefferson Davis Parish, Louisiana",783
02110,"Juneau Borough, Alaska",782
21163,"Meade County, Kentucky",782
47057,"Grainger County, Tennessee",782
18037,"Dubois County, Indiana",781
51610,"Falls Church city, Virginia",780
19179,"Wapello County, Iowa",779
45067,"Marion County, South Carolina",779
01061,"Geneva County, Alabama",778
17137,"Morgan County, Illinois",778
05149,"Yell County, Arkansas",777
31141,"Platte County, Nebraska",776
08039,"Elbert County, Colorado",775
48477,"Washington County, Texas",775
40065,"Jackson County, Oklahoma",774
18077,"Jefferson County, Indiana",772
35006,"Cibola County, New Mexico",770
21195,"Pike County, Kentucky",767
47035,"Cumberland County, Tennessee",767
55045,"Green County, Wisconsin",767
28001,"Adams County, Mississippi",766
51099,"King George County, Virginia",765
39079,"Jackson County, Ohio",764
48363,"Palo Pinto County, Texas",764
29177,"Ray County, Missouri",762
40049,"Garvin County, Oklahoma",762
18179,"Wells County, Indiana",761
45029,"Colleton County, South Carolina",761
39075,"Holmes County, Ohio",760
27041,"Douglas County, Minnesota",759
17021,"Christian County, Illinois",758
16075,"Payette County, Idaho",757
45001,"Abbeville County, South Carolina",757
21083,"Graves County, Kentucky",756
28029,"Copiah County, Mississippi",756
51171,"Shenandoah County, Virginia",756
29091,"Howell County, Missouri",754
48449,"Titus County, Texas",754
46011,"Brookings County, South Dakota",753
24001,"Allegany County, Maryland",752
39065,"Hardin County, Ohio",752
18149,"Starke County, Indiana",751
22031,"De Soto Parish, Louisiana",751
12007,"Bradford County, Florida",750
28085,"Lincoln County, Mississippi",750
47173,"Union County, Tennessee",750
22049,"Jackson Parish, Louisiana",748
53047,"Okanogan County, Washington",747
05059,"Hot Spring County, Arkansas",746
17121,"Marion County, Illinois",746
21017,"Bourbon County, Kentucky",746
28023,"Clarke County, Mississippi",745
21199,"Pulaski County, Kentucky",744
18107,"Montgomery County, Indiana",743
47131,"Obion County, Tennessee",743
42125,"Washington County, Pennsylvania",742
21005,"Anderson County, Kentucky",741
42069,"Lackawanna County, Pennsylvania",741
13227,"Pickens County, Georgia",737
17133,"Monroe County, Illinois",737
18181,"White County, Indiana",737
13171,"Lamar County, Georgia",736
20059,"Franklin County, Kansas",736
45061,"Lee County, South Carolina",735
46029,"Codington County, South Dakota",735
55057,"Juneau County, Wisconsin",734
47025,"Claiborne County, Tennessee",731
48025,"Bee County, Texas",729
51820,"Waynesboro city, Virginia",729
51109,"Louisa County, Virginia",728
37087,"Haywood County, North Carolina",727
05023,"Cleburne County, Arkansas",725
13119,"Franklin County, Georgia",725
22043,"Grant Parish, Louisiana",725
50001,"Addison County, Vermont",725
18137,"Ripley County, Indiana",724
51155,"Pulaski County, Virginia",724
27099,"Mower County, Minnesota",723
21013,"Bell County, Kentucky",722
36019,"Clinton County, New York",722
18143,"Scott County, Indiana",719
26035,"Clare County, Michigan",719
37123,"Montgomery County, North Carolina",719
40117,"Pawnee County, Oklahoma",719
26133,"Osceola County, Michigan",718
45071,"Newberry County, South Carolina",718
28027,"Coahoma County, Mississippi",717
12093,"Okeechobee County, Florida",716
19057,"Des Moines County, Iowa",716
20051,"Ellis County, Kansas",716
26103,"Marquette County, Michigan",716
26127,"Oceana County, Michigan",716
28127,"Simpson County, Mississippi",715
29207,"Stoddard County, Missouri",715
49051,"Wasatch County, Utah",714
05005,"Baxter County, Arkansas",713
28145,"Union County, Mississippi",712
23013,"Knox County, Maine",711
27061,"Itasca County, Minnesota",711
48281,"Lampasas County, Texas",708
13175,"Laurens County, Georgia",707
20087,"Jefferson County, Kansas",707
22039,"Evangeline Parish, Louisiana",707
39137,"Putnam County, Ohio",706
50003,"Bennington County, Vermont",706
47097,"Lauderdale County, Tennessee",705
13071,"Colquitt County, Georgia",703
18175,"Washington County, Indiana",703
28095,"Monroe County, Mississippi",702
47099,"Lawrence County, Tennessee",701
18049,"Fulton County, Indiana",696
18083,"Knox County, Indiana",695
51075,"Goochland County, Virginia",695
28133,"Sunflower County, Mississippi",694
17107,"Logan County, Illinois",693
21157,"Marshall County, Kentucky",693
22037,"East Feliciana Parish, Louisiana",693
26063,"Huron County, Michigan",693
17049,"Effingham County, Illinois",691
17081,"Jefferson County, Illinois",691
21239,"Woodford County, Kentucky",691
27119,"Polk County, Minnesota",691
29055,"Crawford County, Missouri",691
29186,"Ste. Genevieve County, Missouri",691
20057,"Ford County, Kansas",689
47177,"Warren County, Tennessee",689
29105,"Laclede County, Missouri",688
53031,"Jefferson County, Washington",688
17157,"Randolph County, Illinois",686
19187,"Webster County, Iowa",686
21235,"Whitley County, Kentucky",686
46081,"Lawrence County, South Dakota",686
47103,"Lincoln County, Tennessee",686
48007,"Aransas County, Texas",686
22067,"Morehouse Parish, Louisiana",685
26009,"Antrim County, Michigan",685
48463,"Uvalde County, Texas",685
41061,"Union County, Oregon",684
27017,"Carlton County, Minnesota",683
37111,"McDowell County, North Carolina",683
16067,"Minidoka County, Idaho",682
31157,"Scotts Bluff County, Nebraska",682
36031,"Essex County, New York",682
40133,"Seminole County, Oklahoma",682
37099,"Jackson County, North Carolina",681
42055,"Franklin County, Pennsylvania",681
17057,"Fulton County, Illinois",678
18001,"Adams County, Indiana",678
22003,"Allen Parish, Louisiana",678
13207,"Monroe County, Georgia",677
26051,"Gladwin County, Michigan",677
27093,"Meeker County, Minnesota",677
01039,"Covington County, Alabama",676
22009,"Avoyelles Parish, Louisiana",676
23007,"Franklin County, Maine",676
48365,"Panola County, Texas",676
28115,"Pontotoc County, Mississippi",675
55047,"Green Lake County, Wisconsin",675
39053,"Gallia County, Ohio",674
13261,"Sumter County, Georgia",673
28031,"Covington County, Mississippi",673
08029,"Delta County, Colorado",672
53051,"Pend Oreille County, Washington",672
49007,"Carbon County, Utah",671
06035,"Lassen County, California",670
12049,"Hardee County, Florida",670
48219,"Hockley County, Texas",669
01005,"Barbour County, Alabama",668
08087,"Morgan County, Colorado",667
18169,"Wabash County, Indiana",667
13311,"White County, Georgia",666
05029,"Conway County, Arkansas",665
42007,"Beaver County, Pennsylvania",664
53001,"Adams County, Washington",664
19017,"Bremer County, Iowa",663
20191,"Sumner County, Kansas",661
24019,"Dorchester County, Maryland",660
31177,"Washington County, Nebraska",660
05053,"Grant County, Arkansas",659
37055,"Dare County, North Carolina",659
47081,"Hickman County, Tennessee",656
26029,"Charlevoix County, Michigan",655
27157,"Wabasha County, Minnesota",654
05015,"Carroll County, Arkansas",652
55121,"Trempealeau County, Wisconsin",652
48331,"Milam County, Texas",651
12003,"Baker County, Florida",650
12133,"Washington County, Florida",650
05103,"Ouachita County, Arkansas",649
31001,"Adams County, Nebraska",648
26047,"Emmet County, Michigan",647
48227,"Howard County, Texas",645
19125,"Marion County, Iowa",644
05019,"Clark County, Arkansas",643
05083,"Logan County, Arkansas",643
21027,"Breckinridge County, Kentucky",643
21103,"Henry County, Kentucky",643
26031,"Cheboygan County, Michigan",643
20021,"Cherokee County, Kansas",642
18139,"Rush County, Indiana",640
35047,"San Miguel County, New Mexico",640
36033,"Franklin County, New York",638
51065,"Fluvanna County, Virginia",638
06021,"Glenn County, California",635
45069,"Marlboro County, South Carolina",634
