dest_fips,county_state,total_in_exemptions
05145,"White County, Arkansas",1935
27027,"Clay County, Minnesota",1934
21125,"Laurel County, Kentucky",1925
54079,"Putnam County, West Virginia",1924
26111,"Midland County, Michigan",1923
30013,"Cascade County, Montana",1923
13115,"Floyd County, Georgia",1921
18085,"Kosciusko County, Indiana",1917
34033,"Salem County, New Jersey",1917
38035,"Grand Forks County, North Dakota",1917
53009,"Clallam County, Washington",1907
18067,"Howard County, Indiana",1905
26027,"Cass County, Michigan",1902
37023,"Burke County, North Carolina",1900
53025,"Grant County, Washington",1898
04007,"Gila County, Arizona",1896
13103,"Effingham County, Georgia",1890
48005,"Angelina County, Texas",1887
39157,"Tuscarawas County, Ohio",1875
51149,"Prince George County, Virginia",1874
06045,"Mendocino County, California",1872
53027,"Grays Harbor County, Washington",1870
06109,"Tuolumne County, California",1867
37031,"Carteret County, North Carolina",1863
22097,"St. Landry Parish, Louisiana",1862
39063,"Hancock County, Ohio",1854
51680,"Lynchburg city, Virginia",1843
24035,"Queen Anne, Maryland",1841
39021,"Champaign County, Ohio",1840
48499,"Wood County, Texas",1840
36051,"Livingston County, New York",1836
39077,"Huron County, Ohio",1835
27131,"Rice County, Minnesota",1829
47141,"Putnam County, Tennessee",1816
37169,"Stokes County, North Carolina",1815
23023,"Sagadahoc County, Maine",1811
39003,"Allen County, Ohio",1799
40101,"Muskogee County, Oklahoma",1795
48471,"Walker County, Texas",1795
13127,"Glynn County, Georgia",1794
13213,"Murray County, Georgia",1791
37155,"Robeson County, North Carolina",1790
50027,"Windsor County, Vermont",1787
29145,"Newton County, Missouri",1783
45059,"Laurens County, South Carolina",1774
36021,"Columbia County, New York",1770
39083,"Knox County, Ohio",1770
56025,"Natrona County, Wyoming",1767
13285,"Troup County, Georgia",1766
01077,"Lauderdale County, Alabama",1765
22045,"Iberia Parish, Louisiana",1765
54061,"Monongalia County, West Virginia",1762
23017,"Oxford County, Maine",1761
01121,"Talladega County, Alabama",1760
26123,"Newaygo County, Michigan",1757
29169,"Pulaski County, Missouri",1756
47073,"Hawkins County, Tennessee",1754
37125,"Moore County, North Carolina",1752
25003,"Berkshire County, Massachusetts",1743
13129,"Gordon County, Georgia",1738
36101,"Steuben County, New York",1736
41041,"Lincoln County, Oregon",1731
37027,"Caldwell County, North Carolina",1727
28073,"Lamar County, Mississippi",1725
17077,"Jackson County, Illinois",1718
48493,"Wilson County, Texas",1705
39119,"Muskingum County, Ohio",1704
01031,"Coffee County, Alabama",1703
17199,"Williamson County, Illinois",1702
36009,"Cattaraugus County, New York",1702
28045,"Hancock County, Mississippi",1700
01049,"DeKalb County, Alabama",1693
41011,"Coos County, Oregon",1693
37141,"Pender County, North Carolina",1680
37195,"Wilson County, North Carolina",1650
13031,"Bulloch County, Georgia",1649
01043,"Cullman County, Alabama",1644
36011,"Cayuga County, New York",1643
39005,"Ashland County, Ohio",1634
45055,"Kershaw County, South Carolina",1633
53071,"Walla Walla County, Washington",1632
39097,"Madison County, Ohio",1629
37157,"Rockingham County, North Carolina",1628
41035,"Klamath County, Oregon",1628
22087,"St. Bernard Parish, Louisiana",1620
48347,"Nacogdoches County, Texas",1618
27021,"Cass County, Minnesota",1610
55097,"Portage County, Wisconsin",1610
51137,"Orange County, Virginia",1609
13145,"Harris County, Georgia",1607
51033,"Caroline County, Virginia",1604
08037,"Eagle County, Colorado",1602
51143,"Pittsylvania County, Virginia",1602
51630,"Fredericksburg city, Virginia",1602
28075,"Lauderdale County, Mississippi",1601
37077,"Granville County, North Carolina",1598
39159,"Union County, Ohio",1594
12075,"Levy County, Florida",1591
47063,"Hamblen County, Tennessee",1584
45075,"Orangeburg County, South Carolina",1575
30049,"Lewis and Clark County, Montana",1574
21209,"Scott County, Kentucky",1572
26157,"Tuscola County, Michigan",1567
51093,"Isle of Wight County, Virginia",1565
17073,"Henry County, Illinois",1556
22099,"St. Martin Parish, Louisiana",1551
36039,"Greene County, New York",1544
55093,"Pierce County, Wisconsin",1544
13029,"Bryan County, Georgia",1543
17115,"Macon County, Illinois",1541
48325,"Medina County, Texas",1537
21211,"Shelby County, Kentucky",1531
18099,"Marshall County, Indiana",1528
37109,"Lincoln County, North Carolina",1523
53075,"Whitman County, Washington",1519
06005,"Amador County, California",1507
55141,"Wood County, Wisconsin",1507
47031,"Coffee County, Tennessee",1505
05115,"Pope County, Arkansas",1503
28109,"Pearl River County, Mississippi",1503
51187,"Warren County, Virginia",1502
21145,"McCracken County, Kentucky",1498
45031,"Darlington County, South Carolina",1497
29029,"Camden County, Missouri",1496
55095,"Polk County, Wisconsin",1493
26107,"Mecosta County, Michigan",1490
38101,"Ward County, North Dakota",1486
47053,"Gibson County, Tennessee",1486
35009,"Curry County, New Mexico",1485
16011,"Bingham County, Idaho",1483
39117,"Morrow County, Ohio",1479
46093,"Meade County, South Dakota",1479
26149,"St. Joseph County, Michigan",1477
35035,"Otero County, New Mexico",1476
39051,"Fulton County, Ohio",1470
47003,"Bedford County, Tennessee",1467
22001,"Acadia Parish, Louisiana",1462
48459,"Upshur County, Texas",1460
29219,"Warren County, Missouri",1457
40147,"Washington County, Oklahoma",1452
55083,"Oconto County, Wisconsin",1452
19181,"Warren County, Iowa",1451
39141,"Ross County, Ohio",1451
05069,"Jefferson County, Arkansas",1450
36015,"Chemung County, New York",1449
39071,"Highland County, Ohio",1449
45057,"Lancaster County, South Carolina",1449
53037,"Kittitas County, Washington",1448
13177,"Lee County, Georgia",1445
48349,"Navarro County, Texas",1445
27103,"Nicollet County, Minnesota",1444
36013,"Chautauqua County, New York",1431
55033,"Dunn County, Wisconsin",1424
26151,"Sanilac County, Michigan",1423
47105,"Loudon County, Tennessee",1422
47019,"Carter County, Tennessee",1417
55135,"Waupaca County, Wisconsin",1417
40047,"Garfield County, Oklahoma",1416
47145,"Roane County, Tennessee",1415
44001,"Bristol County, Rhode Island",1414
18113,"Noble County, Indiana",1401
39143,"Sandusky County, Ohio",1401
40081,"Lincoln County, Oklahoma",1400
45043,"Georgetown County, South Carolina",1397
51191,"Washington County, Virginia",1394
22075,"Plaquemines Parish, Louisiana",1393
05035,"Crittenden County, Arkansas",1391
21081,"Grant County, Kentucky",1389
39087,"Lawrence County, Ohio",1383
50023,"Washington County, Vermont",1382
48281,"Lampasas County, Texas",1379
37171,"Surry County, North Carolina",1376
48401,"Rusk County, Texas",1376
49043,"Summit County, Utah",1376
47043,"Dickson County, Tennessee",1374
17117,"Macoupin County, Illinois",1370
33019,"Sullivan County, New Hampshire",1368
12039,"Gadsden County, Florida",1366
40041,"Delaware County, Oklahoma",1366
48217,"Hill County, Texas",1366
51540,"Charlottesville city, Virginia",1362
18033,"De Kalb County, Indiana",1354
08067,"La Plata County, Colorado",1352
36057,"Montgomery County, New York",1352
36043,"Herkimer County, New York",1350
37059,"Davie County, North Carolina",1349
39091,"Logan County, Ohio",1342
17133,"Monroe County, Illinois",1341
37017,"Bladen County, North Carolina",1341
51099,"King George County, Virginia",1339
39019,"Carroll County, Ohio",1335
51023,"Botetourt County, Virginia",1326
36077,"Otsego County, New York",1325
27111,"Otter Tail County, Minnesota",1322
48265,"Kerr County, Texas",1322
24041,"Talbot County, Maryland",1320
36107,"Tioga County, New York",1313
39013,"Belmont County, Ohio",1311
16069,"Nez Perce County, Idaho",1310
18065,"Henry County, Indiana",1306
01033,"Colbert County, Alabama",1303
48097,"Cooke County, Texas",1297
27079,"Le Sueur County, Minnesota",1296
45047,"Greenwood County, South Carolina",1296
49003,"Box Elder County, Utah",1295
48473,"Waller County, Texas",1293
48249,"Jim Wells County, Texas",1290
27049,"Goodhue County, Minnesota",1289
54107,"Wood County, West Virginia",1288
22113,"Vermilion Parish, Louisiana",1285
18073,"Jasper County, Indiana",1284
29027,"Callaway County, Missouri",1284
21059,"Daviess County, Kentucky",1282
36037,"Genesee County, New York",1281
29213,"Taney County, Missouri",1279
51730,"Petersburg city, Virginia",1279
31079,"Hall County, Nebraska",1278
08045,"Garfield County, Colorado",1276
18133,"Putnam County, Indiana",1276
18145,"Shelby County, Indiana",1276
51067,"Franklin County, Virginia",1272
39033,"Crawford County, Ohio",1271
12121,"Suwannee County, Florida",1269
17195,"Whiteside County, Illinois",1268
16017,"Bonner County, Idaho",1262
28067,"Jones County, Mississippi",1259
29009,"Barry County, Missouri",1259
45021,"Cherokee County, South Carolina",1258
51685,"Manassas Park city, Virginia",1256
48147,"Fannin County, Texas",1255
13143,"Haralson County, Georgia",1254
26059,"Hillsdale County, Michigan",1253
39123,"Ottawa County, Ohio",1253
19061,"Dubuque County, Iowa",1252
16057,"Latah County, Idaho",1249
13169,"Jones County, Georgia",1247
17103,"Lee County, Illinois",1246
37105,"Lee County, North Carolina",1245
39011,"Auglaize County, Ohio",1240
51109,"Louisa County, Virginia",1235
13227,"Pickens County, Georgia",1233
17029,"Coles County, Illinois",1233
40087,"McClain County, Oklahoma",1232
22011,"Beauregard Parish, Louisiana",1229
27095,"Mille Lacs County, Minnesota",1227
39167,"Washington County, Ohio",1226
21073,"Franklin County, Kentucky",1221
24011,"Caroline County, Maryland",1218
13035,"Butts County, Georgia",1216
48073,"Cherokee County, Texas",1216
39131,"Pike County, Ohio",1215
37061,"Duplin County, North Carolina",1211
48259,"Kendall County, Texas",1208
12051,"Hendry County, Florida",1206
35005,"Chaves County, New Mexico",1204
31019,"Buffalo County, Nebraska",1202
39135,"Preble County, Ohio",1201
55005,"Barron County, Wisconsin",1200
29161,"Phelps County, Missouri",1199
36025,"Delaware County, New York",1199
40097,"Mayes County, Oklahoma",1198
17203,"Woodford County, Illinois",1196
32007,"Elko County, Nevada",1196
51073,"Gloucester County, Virginia",1196
51840,"Winchester city, Virginia",1196
13219,"Oconee County, Georgia",1192
55081,"Monroe County, Wisconsin",1192
13231,"Pike County, Georgia",1190
37053,"Currituck County, North Carolina",1190
45073,"Oconee County, South Carolina",1189
20169,"Saline County, Kansas",1187
40021,"Cherokee County, Oklahoma",1187
48001,"Anderson County, Texas",1186
18061,"Harrison County, Indiana",1183
23025,"Somerset County, Maine",1182
51670,"Hopewell city, Virginia",1180
55071,"Manitowoc County, Wisconsin",1178
21049,"Clark County, Kentucky",1175
26023,"Branch County, Michigan",1173
17183,"Vermilion County, Illinois",1172
39009,"Athens County, Ohio",1172
16065,"Madison County, Idaho",1171
39081,"Jefferson County, Ohio",1171
29109,"Lawrence County, Missouri",1170
29201,"Scott County, Missouri",1167
48407,"San Jacinto County, Texas",1167
56001,"Albany County, Wyoming",1165
39101,"Marion County, Ohio",1163
51171,"Shenandoah County, Virginia",1161
40013,"Bryan County, Oklahoma",1159
13085,"Dawson County, Georgia",1157
37107,"Lenoir County, North Carolina",1157
28087,"Lowndes County, Mississippi",1154
51600,"Fairfax city, Virginia",1153
27085,"McLeod County, Minnesota",1147
37079,"Greene County, North Carolina",1144
47107,"McMinn County, Tennessee",1144
31025,"Cass County, Nebraska",1143
29225,"Webster County, Missouri",1141
36003,"Allegany County, New York",1140
01127,"Walker County, Alabama",1139
53065,"Stevens County, Washington",1139
39037,"Darke County, Ohio",1136
48241,"Jasper County, Texas",1133
39145,"Scioto County, Ohio",1130
51075,"Goochland County, Virginia",1129
13011,"Banks County, Georgia",1128
21179,"Nelson County, Kentucky",1128
19011,"Benton County, Iowa",1126
36035,"Fulton County, New York",1125
20155,"Reno County, Kansas",1124
47059,"Greene County, Tennessee",1124
28071,"Lafayette County, Mississippi",1121
18087,"Lagrange County, Indiana",1120
39147,"Seneca County, Ohio",1116
48143,"Erath County, Texas",1115
37167,"Stanly County, North Carolina",1114
18053,"Grant County, Indiana",1113
40019,"Carter County, Oklahoma",1113
37163,"Sampson County, North Carolina",1111
30081,"Ravalli County, Montana",1110
21019,"Boyd County, Kentucky",1109
36017,"Chenango County, New York",1109
40111,"Okmulgee County, Oklahoma",1109
39073,"Hocking County, Ohio",1108
17177,"Stephenson County, Illinois",1107
21163,"Meade County, Kentucky",1102
55075,"Marinette County, Wisconsin",1101
48015,"Austin County, Texas",1099
55115,"Shawano County, Wisconsin",1097
06093,"Siskiyou County, California",1096
29049,"Clinton County, Missouri",1096
37181,"Vance County, North Carolina",1095
48277,"Lamar County, Texas",1093
20121,"Miami County, Kansas",1088
54033,"Harrison County, West Virginia",1087
12093,"Okeechobee County, Florida",1085
04023,"Santa Cruz County, Arizona",1083
27147,"Steele County, Minnesota",1081
39039,"Defiance County, Ohio",1081
12129,"Wakulla County, Florida",1080
27115,"Pine County, Minnesota",1075
48273,"Kleberg County, Texas",1074
08093,"Park County, Colorado",1073
13137,"Habersham County, Georgia",1072
22121,"West Baton Rouge Parish, Louisiana",1072
41007,"Clatsop County, Oregon",1071
40135,"Sequoyah County, Oklahoma",1069
02122,"Kenai Peninsula Borough, Alaska",1066
23015,"Lincoln County, Maine",1064
18047,"Franklin County, Indiana",1062
26057,"Gratiot County, Michigan",1062
36073,"Orleans County, New York",1059
55045,"Green County, Wisconsin",1059
13233,"Polk County, Georgia",1058
26047,"Emmet County, Michigan",1056
51053,"Dinwiddie County, Virginia",1055
21079,"Garrard County, Kentucky",1053
39001,"Adams County, Ohio",1053
41013,"Crook County, Oregon",1053
54081,"Raleigh County, West Virginia",1053
27041,"Douglas County, Minnesota",1052
22101,"St. Mary Parish, Louisiana",1051
48189,"Hale County, Texas",1051
18177,"Wayne County, Indiana",1050
23009,"Hancock County, Maine",1049
37139,"Pasquotank County, North Carolina",1048
24001,"Allegany County, Maryland",1047
18021,"Clay County, Indiana",1044
37013,"Beaufort County, North Carolina",1043
36023,"Cortland County, New York",1042
08085,"Montrose County, Colorado",1040
23027,"Waldo County, Maine",1040
40079,"Le Flore County, Oklahoma",1040
12063,"Jackson County, Florida",1039
48223,"Hopkins County, Texas",1038
48465,"Val Verde County, Texas",1036
55043,"Grant County, Wisconsin",1035
39031,"Coshocton County, Ohio",1031
37087,"Haywood County, North Carolina",1029
21101,"Henderson County, Kentucky",1027
29023,"Butler County, Missouri",1027
51089,"Henry County, Virginia",1027
16051,"Jefferson County, Idaho",1025
13311,"White County, Georgia",1022
28137,"Tate County, Mississippi",1022
55001,"Adams County, Wisconsin",1021
51660,"Harrisonburg city, Virginia",1020
15007,"Kauai County, Hawaii",1019
51570,"Colonial Heights city, Virginia",1017
26165,"Wexford County, Michigan",1016
28057,"Itawamba County, Mississippi",1015
08039,"Elbert County, Colorado",1014
29209,"Stone County, Missouri",1011
21021,"Boyle County, Kentucky",1008
51145,"Powhatan County, Virginia",1008
21199,"Pulaski County, Kentucky",1007
08117,"Summit County, Colorado",1005
36121,"Wyoming County, New York",1005
13195,"Madison County, Georgia",1004
29107,"Lafayette County, Missouri",1003
39127,"Perry County, Ohio",1003
40137,"Stephens County, Oklahoma",1003
27007,"Beltrami County, Minnesota",1002
13187,"Lumpkin County, Georgia",1001
37197,"Yadkin County, North Carolina",998
08043,"Fremont County, Colorado",997
37193,"Wilkes County, North Carolina",996
13225,"Peach County, Georgia",995
56037,"Sweetwater County, Wyoming",991
18151,"Steuben County, Indiana",988
48185,"Grimes County, Texas",988
22119,"Webster Parish, Louisiana",987
29159,"Pettis County, Missouri",987
26035,"Clare County, Michigan",986
37033,"Caswell County, North Carolina",985
17095,"Knox County, Illinois",984
50025,"Windham County, Vermont",983
51775,"Salem city, Virginia",981
51590,"Danville city, Virginia",980
47123,"Monroe County, Tennessee",978
35025,"Lea County, New Mexico",976
50011,"Franklin County, Vermont",976
37083,"Halifax County, North Carolina",975
18055,"Greene County, Indiana",973
48481,"Wharton County, Texas",973
17105,"Livingston County, Illinois",972
55057,"Juneau County, Wisconsin",972
19045,"Clinton County, Iowa",970
01071,"Jackson County, Alabama",968
05055,"Greene County, Arkansas",965
21089,"Greenup County, Kentucky",961
22061,"Lincoln Parish, Louisiana",959
36089,"St. Lawrence County, New York",959
39149,"Shelby County, Ohio",959
19015,"Boone County, Iowa",958
18103,"Miami County, Indiana",956
18183,"Whitley County, Indiana",954
47117,"Marshall County, Tennessee",954
40071,"Kay County, Oklahoma",948
01021,"Chilton County, Alabama",947
28107,"Panola County, Mississippi",946
27017,"Carlton County, Minnesota",943
37003,"Alexander County, North Carolina",943
41015,"Curry County, Oregon",943
48323,"Maverick County, Texas",940
16053,"Jerome County, Idaho",937
36019,"Clinton County, New York",936
24019,"Dorchester County, Maryland",933
18149,"Starke County, Indiana",931
29003,"Andrew County, Missouri",929
13009,"Baldwin County, Georgia",928
39065,"Hardin County, Ohio",928
54099,"Wayne County, West Virginia",927
22031,"De Soto Parish, Louisiana",926
50021,"Rutland County, Vermont",925
48427,"Starr County, Texas",923
18119,"Owen County, Indiana",919
21009,"Barren County, Kentucky",917
17075,"Iroquois County, Illinois",916
51520,"Bristol city, Virginia",915
27097,"Morrison County, Minnesota",913
51127,"New Kent County, Virginia",911
35039,"Rio Arriba County, New Mexico",909
12027,"DeSoto County, Florida",908
20079,"Harvey County, Kansas",908
27005,"Becker County, Minnesota",908
54069,"Ohio County, West Virginia",907
26051,"Gladwin County, Michigan",905
48049,"Brown County, Texas",904
55085,"Oneida County, Wisconsin",903
22117,"Washington Parish, Louisiana",901
47035,"Cumberland County, Tennessee",901
39047,"Fayette County, Ohio",900
28149,"Warren County, Mississippi",897
38059,"Morton County, North Dakota",896
40123,"Pontotoc County, Oklahoma",895
45029,"Colleton County, South Carolina",895
08029,"Delta County, Colorado",894
28113,"Pike County, Mississippi",894
39059,"Guernsey County, Ohio",891
26127,"Oceana County, Michigan",889
50017,"Orange County, Vermont",889
05005,"Baxter County, Arkansas",888
12003,"Baker County, Florida",888
48477,"Washington County, Texas",888
13275,"Thomas County, Georgia",887
16039,"Elmore County, Idaho",887
31119,"Madison County, Nebraska",887
55031,"Douglas County, Wisconsin",887
37145,"Person County, North Carolina",886
47017,"Carroll County, Tennessee",886
53003,"Asotin County, Washington",886
01017,"Chambers County, Alabama",885
23003,"Aroostook County, Maine",885
45025,"Chesterfield County, South Carolina",885
53031,"Jefferson County, Washington",885
17011,"Bureau County, Illinois",884
29131,"Miller County, Missouri",882
18013,"Brown County, Indiana",881
37189,"Watauga County, North Carolina",879
26103,"Marquette County, Michigan",878
37161,"Rutherford County, North Carolina",878
22047,"Iberville Parish, Louisiana",877
47055,"Giles County, Tennessee",877
13027,"Brooks County, Georgia",876
35015,"Eddy County, New Mexico",876
48067,"Cass County, Texas",876
01079,"Lawrence County, Alabama",873
18079,"Jennings County, Indiana",871
26009,"Antrim County, Michigan",871
51065,"Fluvanna County, Virginia",871
13199,"Meriwether County, Georgia",870
13277,"Tift County, Georgia",870
21005,"Anderson County, Kentucky",870
26143,"Roscommon County, Michigan",868
05023,"Cleburne County, Arkansas",867
19139,"Muscatine County, Iowa",867
18071,"Jackson County, Indiana",865
48007,"Aransas County, Texas",865
18031,"Decatur County, Indiana",864
45023,"Chester County, South Carolina",864
17027,"Clinton County, Illinois",862
17055,"Franklin County, Illinois",862
31053,"Dodge County, Nebraska",862
21107,"Hopkins County, Kentucky",860
13033,"Burke County, Georgia",858
18017,"Cass County, Indiana",857
17021,"Christian County, Illinois",856
48331,"Milam County, Texas",856
29055,"Crawford County, Missouri",855
13119,"Franklin County, Georgia",854
51009,"Amherst County, Virginia",853
22043,"Grant Parish, Louisiana",851
22069,"Natchitoches Parish, Louisiana",851
32001,"Churchill County, Nevada",850
28115,"Pontotoc County, Mississippi",847
28145,"Union County, Mississippi",846
05009,"Boone County, Arkansas",843
20059,"Franklin County, Kansas",843
01123,"Tallapoosa County, Alabama",840
05053,"Grant County, Arkansas",840
08119,"Teller County, Colorado",840
28093,"Marshall County, Mississippi",840
18069,"Huntington County, Indiana",839
13123,"Gilmer County, Georgia",838
54049,"Marion County, West Virginia",838
47081,"Hickman County, Tennessee",837
22053,"Jefferson Davis Parish, Louisiana",836
53047,"Okanogan County, Washington",833
39171,"Williams County, Ohio",831
18051,"Gibson County, Indiana",828
29119,"McDonald County, Missouri",828
39069,"Henry County, Ohio",828
21215,"Spencer County, Kentucky",826
17137,"Morgan County, Illinois",821
17083,"Jersey County, Illinois",819
28105,"Oktibbeha County, Mississippi",819
18129,"Posey County, Indiana",816
47051,"Franklin County, Tennessee",815
27067,"Kandiyohi County, Minnesota",812
47131,"Obion County, Tennessee",812
13299,"Ware County, Georgia",811
37165,"Scotland County, North Carolina",811
29167,"Polk County, Missouri",810
51155,"Pulaski County, Virginia",810
56005,"Campbell County, Wyoming",810
49039,"Sanpete County, Utah",809
12007,"Bradford County, Florida",803
27119,"Polk County, Minnesota",803
23013,"Knox County, Maine",802
21137,"Lincoln County, Kentucky",800
36099,"Seneca County, New York",799
55049,"Iowa County, Wisconsin",799
39079,"Jackson County, Ohio",798
47057,"Grainger County, Tennessee",797
19099,"Jasper County, Iowa",795
50001,"Addison County, Vermont",794
06035,"Lassen County, California",792
48019,"Bandera County, Texas",792
40065,"Jackson County, Oklahoma",790
45039,"Fairfield County, South Carolina",790
18037,"Dubois County, Indiana",789
18107,"Montgomery County, Indiana",789
20037,"Crawford County, Kansas",789
05063,"Independence County, Arkansas",787
21003,"Allen County, Kentucky",787
47045,"Dyer County, Tennessee",786
20125,"Montgomery County, Kansas",785
21121,"Knox County, Kentucky",785
26069,"Iosco County, Michigan",784
29186,"Ste. Genevieve County, Missouri",784
48035,"Bosque County, Texas",783
21239,"Woodford County, Kentucky",782
17057,"Fulton County, Illinois",780
45027,"Clarendon County, South Carolina",780
29091,"Howell County, Missouri",779
40015,"Caddo County, Oklahoma",778
48363,"Palo Pinto County, Texas",776
48321,"Matagorda County, Texas",775
18137,"Ripley County, Indiana",774
27039,"Dodge County, Minnesota",771
39075,"Holmes County, Ohio",770
28003,"Alcorn County, Mississippi",769
40133,"Seminole County, Oklahoma",767
47025,"Claiborne County, Tennessee",766
40115,"Ottawa County, Oklahoma",763
12133,"Washington County, Florida",762
31043,"Dakota County, Nebraska",762
13171,"Lamar County, Georgia",761
37153,"Richmond County, North Carolina",761
54055,"Mercer County, West Virginia",761
27093,"Meeker County, Minnesota",755
39107,"Mercer County, Ohio",753
51043,"Clarke County, Virginia",753
13159,"Jasper County, Georgia",752
35006,"Cibola County, New Mexico",752
16075,"Payette County, Idaho",751
17081,"Jefferson County, Illinois",751
32029,"Storey County, Nevada",750
20111,"Lyon County, Kansas",748
40121,"Pittsburg County, Oklahoma",748
05059,"Hot Spring County, Arkansas",747
18023,"Clinton County, Indiana",747
27169,"Winona County, Minnesota",747
29105,"Laclede County, Missouri",747
05093,"Mississippi County, Arkansas",746
18135,"Randolph County, Indiana",745
18179,"Wells County, Indiana",744
37029,"Camden County, North Carolina",744
49051,"Wasatch County, Utah",744
40049,"Garvin County, Oklahoma",743
18093,"Lawrence County, Indiana",742
29207,"Stoddard County, Missouri",742
55069,"Lincoln County, Wisconsin",740
37111,"McDowell County, North Carolina",738
16031,"Cassia County, Idaho",736
20149,"Pottawatomie County, Kansas",735
18175,"Washington County, Indiana",733
19033,"Cerro Gordo County, Iowa",733
20087,"Jefferson County, Kansas",732
06021,"Glenn County, California",731
55121,"Trempealeau County, Wisconsin",731
51820,"Waynesboro city, Virginia",730
50005,"Caledonia County, Vermont",729
41057,"Tillamook County, Oregon",728
51185,"Tazewell County, Virginia",727
21027,"Breckinridge County, Kentucky",726
27065,"Kanabec County, Minnesota",724
29177,"Ray County, Missouri",724
33007,"Coos County, New Hampshire",724
20035,"Cowley County, Kansas",721
47013,"Campbell County, Tennessee",721
28083,"Leflore County, Mississippi",720
36095,"Schoharie County, New York",720
20139,"Osage County, Kansas",718
27061,"Itasca County, Minnesota",718
21083,"Graves County, Kentucky",717
37055,"Dare County, North Carolina",717
17157,"Randolph County, Illinois",715
22007,"Assumption Parish, Louisiana",712
26133,"Osceola County, Michigan",712
13229,"Pierce County, Georgia",711
45061,"Lee County, South Carolina",711
18077,"Jefferson County, Indiana",710
19125,"Marion County, Iowa",709
28099,"Neshoba County, Mississippi",709
28127,"Simpson County, Mississippi",708
28151,"Washington County, Mississippi",708
21157,"Marshall County, Kentucky",707
13175,"Laurens County, Georgia",706
37047,"Columbus County, North Carolina",705
22039,"Evangeline Parish, Louisiana",704
47103,"Lincoln County, Tennessee",704
55137,"Waushara County, Wisconsin",704
37123,"Montgomery County, North Carolina",703
18181,"White County, Indiana",701
47077,"Henderson County, Tennessee",701
18015,"Carroll County, Indiana",700
46081,"Lawrence County, South Dakota",700
18049,"Fulton County, Indiana",698
29069,"Dunklin County, Missouri",698
45001,"Abbeville County, South Carolina",698
48457,"Tyler County, Texas",698
13207,"Monroe County, Georgia",696
47023,"Chester County, Tennessee",696
28023,"Clarke County, Mississippi",695
12041,"Gilchrist County, Florida",694
26137,"Otsego County, Michigan",693
17001,"Adams County, Illinois",692
22049,"Jackson Parish, Louisiana",690
28095,"Monroe County, Mississippi",690
05139,"Union County, Arkansas",686
47173,"Union County, Tennessee",685
50003,"Bennington County, Vermont",685
01061,"Geneva County, Alabama",684
26029,"Charlevoix County, Michigan",684
28085,"Lincoln County, Mississippi",682
31155,"Saunders County, Nebraska",680
29083,"Henry County, Missouri",677
01053,"Escambia County, Alabama",676
04009,"Graham County, Arizona",676
31157,"Scotts Bluff County, Nebraska",676
26019,"Benzie County, Michigan",675
48449,"Titus County, Texas",673
06063,"Plumas County, California",672
21235,"Whitley County, Kentucky",670
06043,"Mariposa County, California",667
13237,"Putnam County, Georgia",667
17147,"Piatt County, Illinois",667
26031,"Cheboygan County, Michigan",667
47015,"Cannon County, Tennessee",666
22003,"Allen Parish, Louisiana",665
19127,"Marshall County, Iowa",664
54019,"Fayette County, West Virginia",664
24039,"Somerset County, Maryland",662
48219,"Hockley County, Texas",662
55019,"Clark County, Wisconsin",660
18083,"Knox County, Indiana",658
21017,"Bourbon County, Kentucky",658
20191,"Sumner County, Kansas",656
37099,"Jackson County, North Carolina",655
13071,"Colquitt County, Georgia",653
23007,"Franklin County, Maine",652
31177,"Washington County, Nebraska",652
47183,"Weakley County, Tennessee",652
18169,"Wabash County, Indiana",650
19031,"Cedar County, Iowa",650
20055,"Finney County, Kansas",650
21103,"Henry County, Kentucky",650
21141,"Logan County, Kentucky",650
47159,"Smith County, Tennessee",650
17049,"Effingham County, Illinois",649
36031,"Essex County, New York",648
18041,"Fayette County, Indiana",645
21195,"Pike County, Kentucky",644
51175,"Southampton County, Virginia",644
53051,"Pend Oreille County, Washington",643
26063,"Huron County, Michigan",642
05083,"Logan County, Arkansas",639
21035,"Calloway County, Kentucky",639
41045,"Malheur County, Oregon",639
27153,"Todd County, Minnesota",638
27157,"Wabasha County, Minnesota",638
31141,"Platte County, Nebraska",638
01109,"Pike County, Alabama",637
29221,"Washington County, Missouri",637
41065,"Wasco County, Oregon",637
08087,"Morgan County, Colorado",635
21167,"Mercer County, Kentucky",635
26129,"Ogemaw County, Michigan",635
28011,"Bolivar County, Mississippi",635
31111,"Lincoln County, Nebraska",633
47033,"Crockett County, Tennessee",633
08083,"Montezuma County, Colorado",632
22037,"East Feliciana Parish, Louisiana",632
01007,"Bibb County, Alabama",631
29127,"Marion County, Missouri",630
01059,"Franklin County, Alabama",629
35027,"Lincoln County, New Mexico",629
39175,"Wyandot County, Ohio",629
29141,"Morgan County, Missouri",628
51610,"Falls Church city, Virginia",628
22009,"Avoyelles Parish, Louisiana",626
40039,"Custer County, Oklahoma",626
30047,"Lake County, Montana",625
40117,"Pawnee County, Oklahoma",625
02110,"Juneau Borough, Alaska",623
05111,"Poinsett County, Arkansas",623
01039,"Covington County, Alabama",620
27099,"Mower County, Minnesota",619
51101,"King William County, Virginia",617
13211,"Morgan County, Georgia",616
18143,"Scott County, Indiana",615
17041,"Douglas County, Illinois",614
19017,"Bremer County, Iowa",614
05087,"Madison County, Arkansas",612
17107,"Logan County, Illinois",611
